graph: 1, count: 2, tot checked: 4272048
graph: 2, count: 27, tot checked: 4272048
graph: 3, count: 27, tot checked: 4272048
graph: 4, count: 27, tot checked: 4272048
graph: 5, count: 27, tot checked: 4272048
graph: 6, count: 27, tot checked: 4272048
graph: 7, count: 27, tot checked: 4272048
graph: 8, count: 27, tot checked: 4272048
graph: 9, count: 27, tot checked: 4272048
graph: 10, count: 27, tot checked: 4272048
graph: 11, count: 27, tot checked: 4272048
graph: 12, count: 27, tot checked: 4272048
graph: 13, count: 27, tot checked: 4272048
graph: 14, count: 27, tot checked: 4272048
graph: 15, count: 27, tot checked: 4272048
graph: 16, count: 27, tot checked: 4272048
graph: 17, count: 27, tot checked: 4272048
graph: 18, count: 27, tot checked: 4272048
graph: 19, count: 27, tot checked: 4272048
graph: 20, count: 27, tot checked: 4272048
graph: 21, count: 27, tot checked: 4272048
graph: 22, count: 27, tot checked: 4272048
graph: 23, count: 27, tot checked: 4272048
graph: 24, count: 2, tot checked: 4272048
graph: 25, count: 27, tot checked: 4272048
graph: 26, count: 27, tot checked: 4272048
graph: 27, count: 27, tot checked: 4272048
graph: 28, count: 27, tot checked: 4272048
graph: 29, count: 27, tot checked: 4272048
graph: 30, count: 27, tot checked: 4272048
graph: 31, count: 27, tot checked: 4272048
graph: 32, count: 27, tot checked: 4272048
graph: 33, count: 27, tot checked: 4272048
graph: 34, count: 27, tot checked: 4272048
graph: 35, count: 27, tot checked: 4272048
graph: 36, count: 27, tot checked: 4272048
graph: 37, count: 27, tot checked: 4272048
graph: 38, count: 27, tot checked: 4272048
graph: 39, count: 27, tot checked: 4272048
graph: 40, count: 27, tot checked: 4272048
graph: 41, count: 27, tot checked: 4272048
graph: 42, count: 27, tot checked: 4272048
graph: 43, count: 27, tot checked: 4272048
graph: 44, count: 27, tot checked: 4272048
graph: 45, count: 27, tot checked: 4272048
graph: 46, count: 27, tot checked: 4272048
graph: 47, count: 27, tot checked: 4272048
graph: 48, count: 27, tot checked: 4272048
graph: 49, count: 27, tot checked: 4272048
graph: 50, count: 27, tot checked: 4272048
graph: 51, count: 27, tot checked: 4272048
graph: 52, count: 27, tot checked: 4272048
graph: 53, count: 27, tot checked: 4272048
graph: 54, count: 27, tot checked: 4272048
graph: 55, count: 27, tot checked: 4272048
graph: 56, count: 27, tot checked: 4272048
graph: 57, count: 27, tot checked: 4272048
graph: 58, count: 27, tot checked: 4272048
graph: 59, count: 27, tot checked: 4272048
graph: 60, count: 2, tot checked: 4272048
graph: 61, count: 27, tot checked: 4272048
graph: 62, count: 27, tot checked: 4272048
graph: 63, count: 27, tot checked: 4272048
graph: 64, count: 27, tot checked: 4272048
graph: 65, count: 27, tot checked: 4272048
graph: 66, count: 27, tot checked: 4272048
graph: 67, count: 27, tot checked: 4272048
graph: 68, count: 27, tot checked: 4272048
graph: 69, count: 2, tot checked: 4272048
graph: 70, count: 2, tot checked: 4272048
graph: 71, count: 27, tot checked: 4272048
graph: 72, count: 27, tot checked: 4272048
graph: 73, count: 27, tot checked: 4272048
graph: 74, count: 27, tot checked: 4272048
graph: 75, count: 27, tot checked: 4272048
graph: 76, count: 27, tot checked: 4272048
graph: 77, count: 27, tot checked: 4272048
graph: 78, count: 27, tot checked: 4272048
graph: 79, count: 27, tot checked: 4272048
graph: 80, count: 27, tot checked: 4272048
graph: 81, count: 27, tot checked: 4272048
graph: 82, count: 27, tot checked: 4272048
graph: 83, count: 27, tot checked: 4272048
graph: 84, count: 27, tot checked: 4272048
graph: 85, count: 27, tot checked: 4272048
graph: 86, count: 27, tot checked: 4272048
graph: 87, count: 27, tot checked: 4272048
graph: 88, count: 27, tot checked: 4272048
graph: 89, count: 27, tot checked: 4272048
graph: 90, count: 27, tot checked: 4272048
graph: 91, count: 27, tot checked: 4272048
graph: 92, count: 27, tot checked: 4272048
graph: 93, count: 27, tot checked: 4272048
graph: 94, count: 27, tot checked: 4272048
graph: 95, count: 27, tot checked: 4272048
graph: 96, count: 27, tot checked: 4272048
graph: 97, count: 27, tot checked: 4272048
graph: 98, count: 27, tot checked: 4272048
graph: 99, count: 27, tot checked: 4272048
graph: 100, count: 27, tot checked: 4272048
graph: 101, count: 27, tot checked: 4272048
graph: 102, count: 27, tot checked: 4272048
graph: 103, count: 27, tot checked: 4272048
graph: 104, count: 27, tot checked: 4272048
graph: 105, count: 27, tot checked: 4272048
graph: 106, count: 27, tot checked: 4272048
graph: 107, count: 27, tot checked: 4272048
graph: 108, count: 27, tot checked: 4272048
graph: 109, count: 2, tot checked: 4272048
graph: 110, count: 2, tot checked: 4272048
graph: 111, count: 2, tot checked: 4272048
graph: 112, count: 2, tot checked: 4272048
graph: 113, count: 27, tot checked: 4272048
graph: 114, count: 27, tot checked: 4272048
graph: 115, count: 27, tot checked: 4272048
graph: 116, count: 27, tot checked: 4272048
graph: 117, count: 27, tot checked: 4272048
graph: 118, count: 27, tot checked: 4272048
graph: 119, count: 27, tot checked: 4272048
graph: 120, count: 27, tot checked: 4272048
graph: 121, count: 27, tot checked: 4272048
graph: 122, count: 27, tot checked: 4272048
graph: 123, count: 27, tot checked: 4272048
graph: 124, count: 27, tot checked: 4272048
graph: 125, count: 2, tot checked: 4272048
graph: 126, count: 2, tot checked: 4272048
graph: 127, count: 27, tot checked: 4272048
graph: 128, count: 27, tot checked: 4272048
graph: 129, count: 27, tot checked: 4272048
graph: 130, count: 27, tot checked: 4272048
graph: 131, count: 27, tot checked: 4272048
graph: 132, count: 27, tot checked: 4272048
graph: 133, count: 27, tot checked: 4272048
graph: 134, count: 27, tot checked: 4272048
graph: 135, count: 27, tot checked: 4272048
graph: 136, count: 27, tot checked: 4272048
graph: 137, count: 27, tot checked: 4272048
graph: 138, count: 27, tot checked: 4272048
graph: 139, count: 27, tot checked: 4272048
graph: 140, count: 27, tot checked: 4272048
graph: 141, count: 27, tot checked: 4272048
graph: 142, count: 27, tot checked: 4272048
graph: 143, count: 27, tot checked: 4272048
graph: 144, count: 27, tot checked: 4272048
graph: 145, count: 27, tot checked: 4272048
graph: 146, count: 27, tot checked: 4272048
graph: 147, count: 27, tot checked: 4272048
graph: 148, count: 27, tot checked: 4272048
graph: 149, count: 27, tot checked: 4272048
graph: 150, count: 27, tot checked: 4272048
graph: 151, count: 27, tot checked: 4272048
graph: 152, count: 27, tot checked: 4272048
graph: 153, count: 27, tot checked: 4272048
graph: 154, count: 27, tot checked: 4272048
graph: 155, count: 27, tot checked: 4272048
graph: 156, count: 27, tot checked: 4272048
graph: 157, count: 27, tot checked: 4272048
graph: 158, count: 27, tot checked: 4272048
graph: 159, count: 27, tot checked: 4272048
graph: 160, count: 27, tot checked: 4272048
graph: 161, count: 27, tot checked: 4272048
graph: 162, count: 27, tot checked: 4272048
graph: 163, count: 27, tot checked: 4272048
graph: 164, count: 27, tot checked: 4272048
graph: 165, count: 27, tot checked: 4272048
graph: 166, count: 27, tot checked: 4272048
graph: 167, count: 27, tot checked: 4272048
graph: 168, count: 27, tot checked: 4272048
graph: 169, count: 27, tot checked: 4272048
graph: 170, count: 27, tot checked: 4272048
graph: 171, count: 27, tot checked: 4272048
graph: 172, count: 27, tot checked: 4272048
graph: 173, count: 27, tot checked: 4272048
graph: 174, count: 27, tot checked: 4272048
graph: 175, count: 27, tot checked: 4272048
graph: 176, count: 27, tot checked: 4272048
graph: 177, count: 27, tot checked: 4272048
graph: 178, count: 27, tot checked: 4272048
graph: 179, count: 27, tot checked: 4272048
graph: 180, count: 27, tot checked: 4272048
graph: 181, count: 27, tot checked: 4272048
graph: 182, count: 27, tot checked: 4272048
graph: 183, count: 27, tot checked: 4272048
graph: 184, count: 27, tot checked: 4272048
graph: 185, count: 27, tot checked: 4272048
graph: 186, count: 27, tot checked: 4272048
graph: 187, count: 27, tot checked: 4272048
graph: 188, count: 27, tot checked: 4272048
graph: 189, count: 27, tot checked: 4272048
graph: 190, count: 27, tot checked: 4272048
graph: 191, count: 27, tot checked: 4272048
graph: 192, count: 27, tot checked: 4272048
graph: 193, count: 27, tot checked: 4272048
graph: 194, count: 27, tot checked: 4272048
graph: 195, count: 27, tot checked: 4272048
graph: 196, count: 27, tot checked: 4272048
graph: 197, count: 27, tot checked: 4272048
graph: 198, count: 27, tot checked: 4272048
graph: 199, count: 27, tot checked: 4272048
graph: 200, count: 27, tot checked: 4272048
graph: 201, count: 27, tot checked: 4272048
graph: 202, count: 27, tot checked: 4272048
graph: 203, count: 27, tot checked: 4272048
graph: 204, count: 27, tot checked: 4272048
graph: 205, count: 27, tot checked: 4272048
graph: 206, count: 27, tot checked: 4272048
graph: 207, count: 27, tot checked: 4272048
graph: 208, count: 27, tot checked: 4272048
graph: 209, count: 27, tot checked: 4272048
graph: 210, count: 27, tot checked: 4272048
graph: 211, count: 27, tot checked: 4272048
graph: 212, count: 27, tot checked: 4272048
graph: 213, count: 27, tot checked: 4272048
graph: 214, count: 27, tot checked: 4272048
graph: 215, count: 27, tot checked: 4272048
graph: 216, count: 27, tot checked: 4272048
graph: 217, count: 27, tot checked: 4272048
graph: 218, count: 27, tot checked: 4272048
graph: 219, count: 27, tot checked: 4272048
graph: 220, count: 27, tot checked: 4272048
graph: 221, count: 27, tot checked: 4272048
graph: 222, count: 27, tot checked: 4272048
graph: 223, count: 27, tot checked: 4272048
graph: 224, count: 27, tot checked: 4272048
graph: 225, count: 27, tot checked: 4272048
graph: 226, count: 27, tot checked: 4272048
graph: 227, count: 27, tot checked: 4272048
graph: 228, count: 27, tot checked: 4272048
graph: 229, count: 27, tot checked: 4272048
graph: 230, count: 27, tot checked: 4272048
graph: 231, count: 27, tot checked: 4272048
graph: 232, count: 27, tot checked: 4272048
graph: 233, count: 27, tot checked: 4272048
graph: 234, count: 27, tot checked: 4272048
graph: 235, count: 27, tot checked: 4272048
graph: 236, count: 27, tot checked: 4272048
graph: 237, count: 27, tot checked: 4272048
graph: 238, count: 27, tot checked: 4272048
graph: 239, count: 27, tot checked: 4272048
graph: 240, count: 27, tot checked: 4272048
graph: 241, count: 27, tot checked: 4272048
graph: 242, count: 27, tot checked: 4272048
graph: 243, count: 27, tot checked: 4272048
graph: 244, count: 27, tot checked: 4272048
graph: 245, count: 27, tot checked: 4272048
graph: 246, count: 27, tot checked: 4272048
graph: 247, count: 27, tot checked: 4272048
graph: 248, count: 27, tot checked: 4272048
graph: 249, count: 27, tot checked: 4272048
graph: 250, count: 27, tot checked: 4272048
graph: 251, count: 27, tot checked: 4272048
graph: 252, count: 27, tot checked: 4272048
graph: 253, count: 27, tot checked: 4272048
graph: 254, count: 27, tot checked: 4272048
graph: 255, count: 27, tot checked: 4272048
graph: 256, count: 27, tot checked: 4272048
graph: 257, count: 27, tot checked: 4272048
graph: 258, count: 27, tot checked: 4272048
graph: 259, count: 27, tot checked: 4272048
graph: 260, count: 27, tot checked: 4272048
graph: 261, count: 27, tot checked: 4272048
graph: 262, count: 27, tot checked: 4272048
graph: 263, count: 27, tot checked: 4272048
graph: 264, count: 27, tot checked: 4272048
graph: 265, count: 27, tot checked: 4272048
graph: 266, count: 27, tot checked: 4272048
graph: 267, count: 27, tot checked: 4272048
graph: 268, count: 27, tot checked: 4272048
graph: 269, count: 27, tot checked: 4272048
graph: 270, count: 27, tot checked: 4272048
graph: 271, count: 27, tot checked: 4272048
graph: 272, count: 27, tot checked: 4272048
graph: 273, count: 27, tot checked: 4272048
graph: 274, count: 27, tot checked: 4272048
graph: 275, count: 27, tot checked: 4272048
graph: 276, count: 27, tot checked: 4272048
graph: 277, count: 27, tot checked: 4272048
graph: 278, count: 27, tot checked: 4272048
graph: 279, count: 27, tot checked: 4272048
graph: 280, count: 27, tot checked: 4272048
graph: 281, count: 27, tot checked: 4272048
graph: 282, count: 27, tot checked: 4272048
graph: 283, count: 27, tot checked: 4272048
graph: 284, count: 27, tot checked: 4272048
graph: 285, count: 27, tot checked: 4272048
graph: 286, count: 27, tot checked: 4272048
graph: 287, count: 27, tot checked: 4272048
graph: 288, count: 27, tot checked: 4272048
graph: 289, count: 27, tot checked: 4272048
graph: 290, count: 27, tot checked: 4272048
graph: 291, count: 27, tot checked: 4272048
graph: 292, count: 27, tot checked: 4272048
graph: 293, count: 27, tot checked: 4272048
graph: 294, count: 27, tot checked: 4272048
graph: 295, count: 27, tot checked: 4272048
graph: 296, count: 27, tot checked: 4272048
